gene_name	Spring_1	Spring_2	Spring_3	Spring_4	tHIO_1	tHIO_2	tHIO_3	Infant_1	Adult_1	Adult_2	Adult_3
FLJ44054	0	0	0	1	0	0	0	0	0	2	0
FLJ44511	64	122	55	32	22	87	58	18	45	11	45
FLJ44635	76	132	86	72	58	68	73	91	96	49	107
FLJ45079	0	0	0	0	0	0	0	1	1	0	1
FLJ45340	651	154	531	469	167	386	289	545	486	861	346
FLJ45445	46	29	47	33	11	58	44	6	2	12	3
FLJ45513	7	1	1	0	0	1	1	10	4	11	7
FLJ45974	0	0	0	0	0	0	0	0	0	0	0
FLJ45983	0	0	0	0	0	0	0	2	1	0	0
FLJ46066	0	0	0	0	0	0	0	0	0	0	0
FLJ46257	0	0	0	0	0	0	0	0	0	0	0
FLJ46284	0	0	0	0	0	0	0	0	0	0	0
FLJ46300	1	5	0	1	0	1	0	0	0	0	0
FLJ46361	0	0	0	0	0	0	0	0	0	0	0
FLJ46446	0	0	0	0	0	0	0	0	0	0	0
FLJ46906	31	37	30	18	31	23	33	24	38	25	20
FLJ90757	375	86	295	250	268	301	375	419	117	116	83
FLNA	39895	8767	62598	79001	33664	42236	41326	87562	17597	16292	8860
FLNB	8433	2091	8111	5867	1513	4259	4293	4049	6704	6364	7956
FLNC	3336	728	6352	8611	3370	4322	3840	6526	1839	1562	800
